Section I - Assets,Foreign Currency,Total Currency,DropdownValue
(ii)Other securities,25725388,318472147,Z001
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",Z001
(i) Debt,1016362902,1094942949,Z001
(ii) Shares,328478536,477086505,Z001
3. Loans,3. Loans,3. Loans,Z001
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",Z001
"(i) Call and other short loans to investment dealers and brokers, secured",2364882,3276347,Z001
(ii) To regulated financial institutions,84025699,93216041,Z001
"(iii) To Canadian federal government, provinces, municipal or school corporations",64821,5728969,Z001
(iv) To foreign governments,22783532,22783533,Z001
(v) Lease receivables,17234137,36523246,Z001
(vi) To individuals for non-business purposes,157469953,771598597,Z001
Of (A) Secured by residential property,21207357,322699610,Z001
which: (B) Secured by other than residential property,89147669,223865409,Z001
(vii) Reverse repurchase agreements,752244119,1018338143,Z001
(viii) To individuals and others for business purposes,770963605,1391190791,Z001
Of (A) Secured by residential property,11419698,45678691,Z001
which: (B) Secured by other than residential property,431803962,833206585,Z001
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",Z001
(i) Residential,(i) Residential,(i) Residential,Z001
(A) Insured,1712085,429371946,Z001
(B) Of which: NHA MBS pooled and unsold,0,150787194,Z001
(C) Uninsured,193847860,1412715808,Z001
(D) Reverse Mortgages,297542,8249050,Z001
(ii) Non-residential,85212083,185370351,Z001
"4. Customers' liability under acceptances, less allowance for expected credit losses",492791,11088844,Z001
"5. Land, buildings, and equipment, less accumulated depreciation",15039247,33353625,Z001
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",Z001
(a) Insurance-related assets,26234,12807414,Z001
(b) Accrued interest,18114639,32224474,Z001
(c) Prepaid and deferred charges,2234662,9108162,Z001
(d) Goodwill,49328127,70764035,Z001
(e) Intangibles,(e) Intangibles,(e) Intangibles,Z001
(i) with definite lives,8731559,23877255,Z001
(ii) with indefinite lives,11480,5260142,Z001
(f) Deferred tax assets,7749027,17149071,Z001
(g) Derivatives related amounts,549226471,300931636,Z001
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,Z001
(i) Interests in associates and joint ventures,17003761,19322927,Z001
(j) Other,154739372,203266211,Z001
Total  Assets,4675494373,8662237384,Z001
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AV
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,AV
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",589543,5570534,AV
2. Securities,2. Securities,2. Securities,AV
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AV
(i) Treasury Bills and other short term paper,0,0,AV
(ii)Other securities,0,0,AV
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AV
(i) Debt,0,0,AV
(ii) Shares,0,0,AV
3. Loans,3. Loans,3. Loans,AV
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AV
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AV
(ii) To regulated financial institutions,0,0,AV
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AV
(iv) To foreign governments,0,0,AV
(v) Lease receivables,0,0,AV
(vi) To individuals for non-business purposes,0,0,AV
Of (A) Secured by residential property,0,0,AV
which: (B) Secured by other than residential property,0,0,AV
(vii) Reverse repurchase agreements,0,0,AV
(viii) To individuals and others for business purposes,0,0,AV
Of (A) Secured by residential property,0,0,AV
which: (B) Secured by other than residential property,0,0,AV
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AV
(i) Residential,(i) Residential,(i) Residential,AV
(A) Insured,0,0,AV
(B) Of which: NHA MBS pooled and unsold,0,0,AV
(C) Uninsured,0,0,AV
(D) Reverse Mortgages,0,0,AV
(ii) Non-residential,0,0,AV
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AV
"5. Land, buildings, and equipment, less accumulated depreciation",0,0,AV
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AV
(a) Insurance-related assets,0,0,AV
(b) Accrued interest,0,0,AV
(c) Prepaid and deferred charges,0,26,AV
(d) Goodwill,0,0,AV
(e) Intangibles,(e) Intangibles,(e) Intangibles,AV
(i) with definite lives,0,0,AV
(ii) with indefinite lives,0,0,AV
(f) Deferred tax assets,0,218,AV
(g) Derivatives related amounts,0,0,AV
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AV
(i) Interests in associates and joint ventures,0,0,AV
(j) Other,0,29399,AV
Total  Assets,589543,5600177,AV
Gold coin and gold and silver bullion,0,0,FG
Bank notes and other coin,0,0,FG
Not in use,Not in use,Not in use,FG
Deposits with Bank of Canada,0,0,FG
"Deposits with regulated financial institutions, less allowance for impairment",0,52209,FG
Cheques and other items in transit (net),0,23639,FG
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,FG
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,FG
Treasury Bills,0,0,FG
Other securities maturing within 3 years,0,0,FG
Other securities,0,0,FG
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,FG
Securities maturing within 3 years,0,0,FG
Other securities,0,0,FG
Shares,0,0,FG
Securities issued or guaranteed by a Canadian province,0,0,FG
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,FG
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment",FG
Debt,0,0,FG
Shares,0,0,FG
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment",FG
"Call and other short loans to investment dealers and brokers, secured",0,0,FG
To regulated financial institutions,0,0,FG
"To Canadian federal government, provinces, municipal or school corporations",0,0,FG
To foreign governments,0,0,FG
Lease receivables,0,0,FG
To individuals for non-business purposes,0,1082061,FG
Reverse repurchase agreements,0,0,FG
To individuals and others for business purposes,0,0,FG
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment",FG
Residential,Residential,Residential,FG
Insured,0,3172696,FG
Uninsured,0,2953454,FG
Non-residential,0,0,FG
"Customers' liability under acceptances, less allowances for impairment",0,0,FG
"Land, buildings, and equipment, less accumulated depreciation",0,18192,FG
Insurance-related assets,Insurance-related assets,Insurance-related assets,FG
Policy loans,0,0,FG
Premiums outstanding,0,0,FG
Due from other insurers,0,0,FG
Other,0,0,FG
Other assets,Other assets,Other assets,FG
Accrued interest,0,15140,FG
Prepaid and deferred charges,0,64705,FG
Goodwill,0,0,FG
Intangibles,Intangibles,Intangibles,FG
with definite lives,0,0,FG
with indefinite lives,0,0,FG
Future income taxes,0,39871,FG
Derivatives related amounts,0,2229,FG
Due from Head Office and related Canadian regulated Financial Institutions,0,0,FG
Other,0,6310,FG
Total assets,0,7430506,FG
Gold coin and gold and silver bullion,0,0,AI
Other coin,0,0,AI
Bank Notes,0,0,AI
Deposits with Bank of Canada,0,0,AI
"Deposits with regulated financial institutions, less allowance for impairment",0,153,AI
Cheques and other items in transit (net),0,0,AI
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,AI
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,AI
Treasury Bills,0,3520,AI
Other securities maturing within 3 years,0,0,AI
Other securities,0,0,AI
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,AI
Securities maturing within 3 years,0,0,AI
Other securities,0,0,AI
Shares,0,0,AI
Securities issued or guaranteed by a Canadian province,0,0,AI
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,AI
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment",AI
Debt,0,0,AI
Shares,0,0,AI
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment",AI
"Call and other short loans to investment dealers and brokers, secured",0,0,AI
To regulated financial institutions,0,0,AI
"To Canadian federal government, provinces, municipal or school corporations",0,0,AI
To foreign governments,0,0,AI
Lease receivables,0,0,AI
To individuals for non-business purposes,0,0,AI
Reverse repurchase agreements,0,0,AI
To individuals and others for business purposes,0,0,AI
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment",AI
Residential,Residential,Residential,AI
Insured,0,0,AI
Uninsured,0,0,AI
Non-residential,0,0,AI
"Customers' liability under acceptances, less allowances for impairment",0,0,AI
"Land, buildings, and equipment, less accumulated depreciation",0,0,AI
Insurance-related assets,Insurance-related assets,Insurance-related assets,AI
Policy loans,0,0,AI
Premiums outstanding,0,0,AI
Due from other insurers,0,0,AI
Other,0,0,AI
Other assets,Other assets,Other assets,AI
Accrued interest,0,18,AI
Prepaid and deferred charges,0,0,AI
Goodwill and other intangibles,0,0,AI
Deferred tax debits,0,0,AI
Other,0,34,AI
Total assets,0,3725,AI
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,FQ
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,67939,FQ
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,1299681,FQ
2. Securities,2. Securities,2. Securities,FQ
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",FQ
(i) Treasury Bills and other short term paper,0,0,FQ
(ii)Other securities,0,0,FQ
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",FQ
(i) Debt,0,0,FQ
(ii) Shares,0,0,FQ
3. Loans,3. Loans,3. Loans,FQ
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",FQ
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,FQ
(ii) To regulated financial institutions,0,0,FQ
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,FQ
(iv) To foreign governments,0,0,FQ
(v) Lease receivables,0,0,FQ
(vi) To individuals for non-business purposes,0,1458235,FQ
Of (A) Secured by residential property,0,129852,FQ
which: (B) Secured by other than residential property,0,1258023,FQ
(vii) Reverse repurchase agreements,0,0,FQ
(viii) To individuals and others for business purposes,0,19,FQ
Of (A) Secured by residential property,0,0,FQ
which: (B) Secured by other than residential property,0,0,FQ
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",FQ
(i) Residential,(i) Residential,(i) Residential,FQ
(A) Insured,0,1660069,FQ
(B) Of which: NHA MBS pooled and unsold,0,46766,FQ
(C) Uninsured,0,4495488,FQ
(D) Reverse Mortgages,0,0,FQ
(ii) Non-residential,0,0,FQ
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,FQ
"5. Land, buildings, and equipment, less accumulated depreciation",0,4340,FQ
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",FQ
(a) Insurance-related assets,0,0,FQ
(b) Accrued interest,0,14243,FQ
(c) Prepaid and deferred charges,0,5989,FQ
(d) Goodwill,0,0,FQ
(e) Intangibles,(e) Intangibles,(e) Intangibles,FQ
(i) with definite lives,0,60182,FQ
(ii) with indefinite lives,0,0,FQ
(f) Deferred tax assets,0,1400,FQ
(g) Derivatives related amounts,0,1902,FQ
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,FQ
(i) Interests in associates and joint ventures,0,0,FQ
(j) Other,0,665937,FQ
Total  Assets,0,9735424,FQ
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AC
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2942902,30995595,AC
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",55481953,55900690,AC
2. Securities,2. Securities,2. Securities,AC
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AC
(i) Treasury Bills and other short term paper,1538282,20548080,AC
(ii)Other securities,3337975,36585315,AC
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AC
(i) Debt,223943894,247514469,AC
(ii) Shares,54232832,79579091,AC
3. Loans,3. Loans,3. Loans,AC
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AC
"(i) Call and other short loans to investment dealers and brokers, secured",1049081,1106650,AC
(ii) To regulated financial institutions,70676605,75104880,AC
"(iii) To Canadian federal government, provinces, municipal or school corporations",746,953662,AC
(iv) To foreign governments,1198855,1198856,AC
(v) Lease receivables,2590664,4216599,AC
(vi) To individuals for non-business purposes,24243055,104567364,AC
Of (A) Secured by residential property,6300492,55980488,AC
which: (B) Secured by other than residential property,14602931,21738946,AC
(vii) Reverse repurchase agreements,74411566,121260877,AC
(viii) To individuals and others for business purposes,141324546,261240168,AC
Of (A) Secured by residential property,1376385,11995036,AC
which: (B) Secured by other than residential property,103719125,193496693,AC
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AC
(i) Residential,(i) Residential,(i) Residential,AC
(A) Insured,0,42790804,AC
(B) Of which: NHA MBS pooled and unsold,0,23134851,AC
(C) Uninsured,29847538,141200081,AC
(D) Reverse Mortgages,0,0,AC
(ii) Non-residential,28346607,35964545,AC
"4. Customers' liability under acceptances, less allowance for expected credit losses",262283,1024768,AC
"5. Land, buildings, and equipment, less accumulated depreciation",3339479,6219710,AC
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AC
(a) Insurance-related assets,0,4756474,AC
(b) Accrued interest,2992628,4265798,AC
(c) Prepaid and deferred charges,440935,1897230,AC
(d) Goodwill,16080239,16515628,AC
(e) Intangibles,(e) Intangibles,(e) Intangibles,AC
(i) with definite lives,3131782,5079074,AC
(ii) with indefinite lives,2580,51980,AC
(f) Deferred tax assets,1371183,3493578,AC
(g) Derivatives related amounts,78981540,33509831,AC
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AC
(i) Interests in associates and joint ventures,780143,1627313,AC
(j) Other,30977298,43734100,AC
Total  Assets,853527191,1382903210,AC
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AE
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",4482408,10184539,AE
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",49078500,50236904,AE
2. Securities,2. Securities,2. Securities,AE
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AE
(i) Treasury Bills and other short term paper,2887756,31217024,AE
(ii)Other securities,5945093,42562599,AE
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AE
(i) Debt,127927346,136926851,AE
(ii) Shares,51904208,83461889,AE
3. Loans,3. Loans,3. Loans,AE
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AE
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AE
(ii) To regulated financial institutions,998283,1674726,AE
"(iii) To Canadian federal government, provinces, municipal or school corporations",55453,262992,AE
(iv) To foreign governments,2003021,2003021,AE
(v) Lease receivables,2446791,3122714,AE
(vi) To individuals for non-business purposes,30449138,119919938,AE
Of (A) Secured by residential property,230677,23851670,AE
which: (B) Secured by other than residential property,8868870,51596859,AE
(vii) Reverse repurchase agreements,130797043,190811198,AE
(viii) To individuals and others for business purposes,179084800,284233892,AE
Of (A) Secured by residential property,3081773,15918651,AE
which: (B) Secured by other than residential property,87534847,146682283,AE
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AE
(i) Residential,(i) Residential,(i) Residential,AE
(A) Insured,93,72825636,AE
(B) Of which: NHA MBS pooled and unsold,0,33674905,AE
(C) Uninsured,52930403,272697590,AE
(D) Reverse Mortgages,0,0,AE
(ii) Non-residential,77847,2816276,AE
"4. Customers' liability under acceptances, less allowance for expected credit losses",66664,5508868,AE
"5. Land, buildings, and equipment, less accumulated depreciation",2340428,5377088,AE
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AE
(a) Insurance-related assets,19892,1318651,AE
(b) Accrued interest,3467114,5292656,AE
(c) Prepaid and deferred charges,872565,2612077,AE
(d) Goodwill,3829945,8950545,AE
(e) Intangibles,(e) Intangibles,(e) Intangibles,AE
(i) with definite lives,1063337,3351741,AE
(ii) with indefinite lives,0,4577700,AE
(f) Deferred tax assets,1160793,3349160,AE
(g) Derivatives related amounts,98393322,49698233,AE
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,AE
(i) Interests in associates and joint ventures,1751042,2088575,AE
(j) Other,8581377,15329245,AE
Total  Assets,762614662,1412412328,AE
Gold coin and gold and silver bullion,0,0,FJ
Bank notes and other coin,0,0,FJ
Not in use,Not in use,Not in use,FJ
Deposits with Bank of Canada,0,0,FJ
"Deposits with regulated financial institutions, less allowance for impairment",1002,21136,FJ
Cheques and other items in transit,0,0,FJ
Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,Securities issued or guaranteed by Canada,FJ
Securities issued by Canada,Securities issued by Canada,Securities issued by Canada,FJ
Treasury Bills,0,0,FJ
Other securities maturing within 3 years,0,0,FJ
Other securities,0,0,FJ
Securities guaranteed by Canada,Securities guaranteed by Canada,Securities guaranteed by Canada,FJ
Securities maturing within 3 years,0,0,FJ
Other securities,0,0,FJ
Shares,0,0,FJ
Securities issued or guaranteed by a Canadian province,0,0,FJ
Securities issued or guaranteed by a Canadian municipal or school corporation,0,0,FJ
"Other securities, less allowance for impairment","Other securities, less allowance for impairment","Other securities, less allowance for impairment",FJ
Debt,0,0,FJ
Shares,0,0,FJ
"Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment","Non-Mortgage Loans, less allowance for impairment",FJ
"Call and other short loans to investment dealers and brokers, secured",0,0,FJ
To regulated financial institutions,0,0,FJ
"To Canadian federal government, provinces, municipal or school corporations",0,0,FJ
To foreign governments,0,0,FJ
Lease receivables,0,0,FJ
To individuals for non-business purposes,0,0,FJ
Reverse repurchase agreements,0,0,FJ
To individuals and others for business purposes,0,0,FJ
"Mortgages, less allowance for impairment","Mortgages, less allowance for impairment","Mortgages, less allowance for impairment",FJ
Residential,Residential,Residential,FJ
Insured,0,0,FJ
Uninsured,0,0,FJ
Non-residential,0,0,FJ
"Customers' liability under acceptances, less allowances for impairment",0,0,FJ
"Land, buildings, and equipment, less accumulated depreciation",0,0,FJ
Insurance-related assets,Insurance-related assets,Insurance-related assets,FJ
Policy loans,0,0,FJ
Premiums outstanding,0,0,FJ
Due from other insurers,0,0,FJ
Other,0,0,FJ
Other assets,Other assets,Other assets,FJ
Accrued interest,0,0,FJ
Prepaid and deferred charges,0,0,FJ
Goodwill,0,0,FJ
Intangibles,Intangibles,Intangibles,FJ
with definite lives,0,0,FJ
with indefinite lives,0,0,FJ
Future income taxes,0,0,FJ
Derivatives related amounts,0,0,FJ
Due from Head Office and related Canadian regulated Financial Institutions,0,0,FJ
Other,0,0,FJ
Total assets,1002,21136,FJ
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,AW
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,AW
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,116223,AW
2. Securities,2. Securities,2. Securities,AW
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable",AW
(i) Treasury Bills and other short term paper,0,12750,AW
(ii)Other securities,0,0,AW
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable",AW
(i) Debt,0,0,AW
(ii) Shares,0,0,AW
3. Loans,3. Loans,3. Loans,AW
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses",AW
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,AW
(ii) To regulated financial institutions,0,0,AW
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,AW
(iv) To foreign governments,0,0,AW
(v) Lease receivables,0,0,AW
(vi) To individuals for non-business purposes,0,0,AW
Of (A) Secured by residential property,0,0,AW
which: (B) Secured by other than residential property,0,0,AW
(vii) Reverse repurchase agreements,0,0,AW
(viii) To individuals and others for business purposes,0,0,AW
Of (A) Secured by residential property,0,0,AW
which: (B) Secured by other than residential property,0,0,AW
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses",AW
(i) Residential,(i) Residential,(i) Residential,AW
(A) Insured,0,333686,AW
(B) Of which: NHA MBS pooled and unsold,0,89866,AW
(C) Uninsured,0,1678779,AW
(D) Reverse Mortgages,0,0,AW
(ii) Non-residential,0,0,AW
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,AW
"5. Land, buildings, and equipment, less accumulated depreciation",0,2950,AW
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable",AW
(a) Insurance-related assets,0,0,AW
(b) Accrued interest,0,8290,AW
(c) Prepaid and deferred charges,0,8451,AW
(d) Goodwill,0,0,AW
